#{"t_start": 1764996021.9306874, "env_id": "None"}
r,l,t
53.045,11,16.47225
53.04,12,16.47225
53.03,14,16.47225
53.025,15,16.484373
53.04,12,16.484373
53.02,16,16.484373
53.045,11,16.484373
53.025,15,16.50024
53.05,10,16.50024
53.04,12,16.50024
53.035,13,16.50024
53.05,10,16.516457
53.045,11,16.516457
52.975,25,16.516457
52.98,24,16.533027
53.04,12,16.536168
53.04,12,16.540277
52.975,25,16.547275
52.955,29,16.55546
53.035,13,16.559461
53.045,11,16.562456
52.965,27,16.562456
53.025,15,16.562456
53.045,11,16.562456
53.045,11,16.578239
53.04,12,16.578239
53.035,13,16.578239
52.985,23,16.594237
53.02,16,16.594237
53.04,12,16.594237
53.03,14,16.594237
53.045,11,16.594237
53.04,12,16.610406
53.025,15,16.610406
53.04,12,16.610406
53.045,11,16.610406
53.025,15,16.626492
53.04,12,16.626492
53.02,16,16.626492
53.03,14,16.626492
52.89,42,16.652981
53.03,14,16.657705
53.04,12,16.661906
53.0,20,16.666905
53.03,14,16.671907
53.01,18,16.671907
53.03,14,16.671907
53.005,19,16.671907
53.03,14,16.691348
53.04,12,16.69493
53.0,20,16.69493
53.045,11,16.69493
53.025,15,16.709774
53.05,10,16.717089
53.03,14,16.723758
53.05,10,16.726878
53.045,11,16.729866
53.025,15,16.733869
53.025,15,16.737877
53.04,12,16.820482
53.035,13,16.831241
52.945,31,16.840225
53.04,12,16.844239
53.035,13,16.848252
53.05,10,16.850259
53.04,12,16.854703
53.025,15,16.858716
53.0,20,16.864736
53.025,15,16.871004
53.025,15,16.875005
53.02,16,16.875005
53.05,10,16.875005
53.05,10,16.875005
53.03,14,16.89111
53.04,12,16.89111
53.04,12,16.89111
53.035,13,16.89111
53.035,13,16.89111
53.035,13,16.907257
53.05,10,16.907257
53.045,11,16.907257
53.045,11,16.907257
53.04,12,16.907257
53.04,12,16.923167
53.045,11,16.923167
53.005,19,16.923167
53.05,10,16.923167
53.045,11,16.923167
53.04,12,16.938962
53.04,12,16.938962
53.04,12,16.938962
53.035,13,16.938962
53.02,16,16.957075
53.04,12,16.961088
53.02,16,16.9651
53.045,11,16.969112
53.035,13,16.973122
53.04,12,16.976123
53.045,11,16.979123
53.025,15,16.984123
52.895,41,16.984123
52.995,21,17.000038
53.02,16,17.000038
53.045,11,17.000038
53.04,12,17.000038
53.035,13,17.015935
53.02,16,17.015935
53.03,14,17.015935
53.05,10,17.015935
52.31,98,17.047788
53.04,12,17.055073
53.035,13,17.055073
53.04,12,17.064092
53.03,14,17.068084
53.05,10,17.071185
53.05,10,17.074185
53.025,15,17.078187
53.0,20,17.084198
53.02,16,17.088187
53.045,11,17.091194
53.03,14,17.094191
53.04,12,17.094191
53.025,15,17.094191
53.045,11,17.094191
52.895,41,17.114982
53.05,10,17.114982
53.045,11,17.210874
53.03,14,17.214873
53.035,13,17.218873
53.035,13,17.222873
52.965,27,17.223982
53.025,15,17.223982
53.04,12,17.223982
53.04,12,17.241569
53.04,12,17.244577
53.05,10,17.247576
53.035,13,17.251573
53.03,14,17.25519
53.04,12,17.258569
53.04,12,17.261562
53.035,13,17.265558
53.04,12,17.269566
53.0,20,17.274564
53.045,11,17.274564
53.045,11,17.274564
53.025,15,17.274564
53.04,12,17.274564
53.03,14,17.290791
53.045,11,17.290791
53.045,11,17.290791
53.025,15,17.290791
53.045,11,17.306705
53.03,14,17.306705
53.05,10,17.306705
53.035,13,17.306705
53.05,10,17.306705
53.04,12,17.322793
53.05,10,17.322793
53.045,11,17.322793
53.025,15,17.322793
53.045,11,17.322793
53.04,12,17.338571
53.02,16,17.338571
53.05,10,17.338571
53.05,10,17.338571
53.03,14,17.355031
53.03,14,17.355031
53.01,18,17.355031
52.94,32,17.370551
53.05,10,17.370551
53.045,11,17.370551
52.905,39,17.386704
53.03,14,17.386704
53.04,12,17.386704
53.04,12,17.386704
53.035,13,17.40536
52.955,29,17.413528
53.03,14,17.417542
53.045,11,17.420884
53.05,10,17.421881
53.04,12,17.421881
53.025,15,17.421881
53.05,10,17.421881
53.045,11,17.437668
53.035,13,17.44201
53.04,12,17.444016
53.025,15,17.450034
53.045,11,17.45204
53.035,13,17.456921
53.03,14,17.460935
53.045,11,17.462941
53.04,12,17.466953
53.035,13,17.471071
53.035,13,17.475083
53.045,11,17.477089
53.02,16,17.481101
53.045,11,17.484854
53.04,12,17.488793
53.03,14,17.492806
53.01,18,17.496819
53.045,11,17.500967
53.04,12,17.593123
53.045,11,17.596509
53.05,10,17.598515
53.045,11,17.602528
53.03,14,17.60654
53.03,14,17.610295
53.035,13,17.610295
53.05,10,17.610295
53.05,10,17.610295
53.05,10,17.610295
53.05,10,17.626532
53.05,10,17.629996
53.05,10,17.632993
53.04,12,17.636001
53.045,11,17.638988
53.035,13,17.642432
53.035,13,17.646376
53.03,14,17.650441
53.025,15,17.654448
53.04,12,17.657161
52.93,34,17.657161
53.05,10,17.657161
53.045,11,17.673386
53.035,13,17.673386
53.02,16,17.673386
53.03,14,17.673386
53.04,12,17.673386
53.045,11,17.689529
53.045,11,17.689529
53.025,15,17.689529
53.03,14,17.689529
53.045,11,17.707
53.05,10,17.709871
53.03,14,17.709871
53.05,10,17.709871
53.04,12,17.709871
53.045,11,17.723807
53.035,13,17.727036
53.035,13,17.731028
53.05,10,17.734026
53.015,17,17.739031
53.02,16,17.744172
53.045,11,17.74716
53.04,12,17.750156
53.045,11,17.753159
53.05,10,17.756747
53.05,10,17.757629
53.05,10,17.757629
53.045,11,17.757629
53.05,10,17.757629
53.05,10,17.757629
53.03,14,17.775978
53.03,14,17.77997
53.045,11,17.782976
53.025,15,17.786985
53.04,12,17.790781
53.03,14,17.794915
53.03,14,17.798916
53.035,13,17.802907
53.005,19,17.807929
53.005,19,17.807929
53.05,10,17.807929
52.99,22,17.807929
53.03,14,17.824112
53.05,10,17.824112
53.01,18,17.824112
53.04,12,17.824112
53.045,11,17.840698
53.03,14,17.844948
53.02,16,17.849954
52.995,21,17.855564
53.03,14,17.859675
53.05,10,17.859675
53.02,16,17.859675
53.045,11,17.859675
53.025,15,17.859675
53.05,10,17.875464
53.035,13,17.875464
53.025,15,17.875464
53.045,11,17.976626
53.03,14,17.980639
53.045,11,17.982645
53.03,14,17.986658
53.045,11,17.990672
53.01,18,17.996691
53.04,12,18.000446
53.045,11,18.004459
53.05,10,18.006465
53.03,14,18.010478
53.005,19,18.018244
53.015,17,18.022256
53.04,12,18.026269
53.025,15,18.030281
53.015,17,18.036041
53.03,14,18.040052
53.045,11,18.044066
53.03,14,18.049172
53.05,10,18.052165
53.04,12,18.055765
53.03,14,18.058875
53.04,12,18.061879
53.045,11,18.064882
53.035,13,18.068877
53.05,10,18.071882
53.045,11,18.074875
53.04,12,18.077867
53.05,10,18.077867
53.05,10,18.077867
53.045,11,18.077867
53.05,10,18.077867
53.02,16,18.093666
53.05,10,18.097672
53.05,10,18.106151
53.045,11,18.109664
53.025,15,18.109664
53.045,11,18.109664
53.035,13,18.109664
53.02,16,18.125799
53.045,11,18.125799
53.045,11,18.130559
53.045,11,18.130559
53.04,12,18.130559
53.04,12,18.141438
53.035,13,18.141438
53.05,10,18.141438
53.035,13,18.141438
53.045,11,18.141438
53.04,12,18.158225
53.045,11,18.161244
53.045,11,18.164244
53.04,12,18.167228
53.045,11,18.171244
53.05,10,18.173464
53.03,14,18.17746
53.04,12,18.18146
53.04,12,18.18446
53.04,12,18.188256
53.035,13,18.190579
53.05,10,18.190579
53.045,11,18.190579
53.035,13,18.190579
53.05,10,18.190579
53.03,14,18.209516
53.04,12,18.212516
53.035,13,18.216516
53.035,13,18.220515
53.035,13,18.224958
53.04,12,18.228053
53.04,12,18.231051
53.05,10,18.233979
53.045,11,18.237056
53.05,10,18.239939
53.035,13,18.240968
53.045,11,18.240968
52.965,27,18.240968
53.05,10,18.256456
53.03,14,18.256456
53.05,10,18.256456
53.045,11,18.256456
53.035,13,18.256456
53.04,12,18.272415
53.05,10,18.272415
53.035,13,18.356664
53.05,10,18.356664
53.04,12,18.371182
53.045,11,18.371182
53.02,16,18.371182
53.025,15,18.371182
53.05,10,18.387089
53.01,18,18.39051
53.03,14,18.39051
53.025,15,18.39051
