#{"t_start": 1764687834.7812252, "env_id": "None"}
r,l,t
52.61,98,119.166143
52.61,98,119.245801
52.61,98,119.388901
52.61,98,119.500006
52.61,98,119.642467
52.61,98,119.793797
52.61,98,119.943551
52.61,98,120.102197
52.61,98,120.515523
52.61,98,120.690139
52.61,98,120.847998
52.61,98,120.975271
52.61,98,121.069687
52.61,98,121.180484
52.61,98,121.275447
52.61,98,121.433309
52.61,98,121.528217
52.61,98,121.655088
52.61,98,121.765946
52.61,98,122.150041
52.61,98,122.210092
52.61,98,122.321783
52.61,98,122.416879
52.595,101,122.496128
52.61,98,122.591104
52.61,98,122.702446
52.61,98,122.813411
52.61,98,122.908425
52.61,98,123.019258
52.61,98,123.448424
52.61,98,123.575155
52.61,98,123.702071
52.61,98,123.796925
52.61,98,123.907585
52.61,98,124.018253
52.61,98,124.113089
52.61,98,124.207855
52.61,98,124.334281
52.61,98,124.46123
52.61,98,124.556463
52.61,98,125.000624
52.61,98,125.094983
52.61,98,125.205647
52.61,98,125.348963
52.6,100,125.480454
52.61,98,125.586222
52.61,98,125.680991
52.61,98,125.792331
52.61,98,125.91983
52.61,98,126.030876
52.61,98,126.444315
52.605,99,126.55498
52.61,98,126.665587
52.61,98,126.783086
52.61,98,126.887143
52.61,98,126.983588
52.61,98,127.092654
52.61,98,127.187446
52.61,98,127.298023
52.61,98,127.440598
52.61,98,127.552143
52.61,98,128.01191
52.61,98,128.122508
52.61,98,128.217238
52.61,98,128.312114
52.61,98,128.422776
52.61,98,128.53356
52.61,98,128.62882
52.61,98,128.739586
52.61,98,128.850211
52.61,98,128.945224
52.61,98,129.33637
52.61,98,129.467652
52.61,98,129.626839
52.61,98,129.769578
52.61,98,129.92823
52.61,98,130.091353
52.61,98,130.228619
52.61,98,130.339909
52.61,98,130.493236
52.61,98,130.625052
52.61,98,131.116278
52.61,98,131.227378
52.61,98,131.322145
52.61,98,131.433216
52.61,98,131.528543
52.61,98,131.687754
52.61,98,131.846359
52.61,98,131.96777
52.61,98,132.100045
52.61,98,132.228354
52.61,98,132.308011
52.61,98,132.720109
52.61,98,132.862499
52.61,98,132.973429
52.61,98,133.089019
52.61,98,133.258146
52.61,98,133.433047
52.61,98,133.609073
52.605,99,133.80014
52.61,98,133.958941
52.61,98,134.118729
52.61,98,134.63622
52.61,98,134.794404
52.61,98,134.937075
52.61,98,135.06394
52.61,98,135.238871
52.61,98,135.397572
52.61,98,135.539937
52.61,98,135.683486
52.61,98,135.84252
52.61,98,135.985554
52.61,98,136.112363
52.61,98,136.444669
52.61,98,136.524067
52.61,98,136.614608
52.61,98,136.683402
52.61,98,136.798629
52.61,98,136.857926
52.61,98,136.968634
52.61,98,137.047639
52.61,98,137.157902
52.61,98,137.268929
52.61,98,137.76061
52.61,98,137.824036
52.61,98,137.871689
52.61,98,137.919302
52.61,98,137.967097
52.61,98,138.017095
52.61,98,138.047103
52.61,98,138.158468
52.61,98,138.269203
52.61,98,138.379909
52.61,98,138.474818
52.61,98,138.839112
52.61,98,138.93398
52.61,98,139.060646
52.61,98,139.116493
52.61,98,139.186929
52.61,98,139.234931
52.61,98,139.282761
52.61,98,139.330381
52.61,98,139.489038
52.61,98,139.59989
52.61,98,139.900539
52.61,98,139.948041
52.61,98,139.9797
52.61,98,140.027645
52.61,98,140.075194
52.61,98,140.138507
52.61,98,140.234116
52.61,98,140.345048
52.61,98,140.440375
52.61,98,140.535614
52.61,98,140.64646
52.61,98,141.090823
52.61,98,141.169974
52.61,98,141.281397
52.61,98,141.39224
52.61,98,141.487326
52.61,98,141.598222
52.61,98,141.693306
52.61,98,141.822943
52.61,98,141.915864
52.61,98,141.947567
52.605,99,142.090659
52.61,98,142.138609
52.61,98,142.170368
52.61,98,142.223636
52.605,99,142.329145
52.605,99,142.487452
52.61,98,142.598235
52.61,98,142.69312
52.61,98,142.804497
52.61,98,142.947646
52.61,98,143.4263
52.61,98,143.563369
52.605,99,143.727495
52.61,98,143.866081
52.61,98,144.027499
52.6,100,144.200716
52.61,98,144.376188
52.61,98,144.535358
52.61,98,144.696713
52.61,98,144.8701
52.61,98,145.02964
52.61,98,145.619962
52.61,98,145.779085
52.61,98,145.922277
52.61,98,146.017384
52.61,98,146.175533
52.61,98,146.343303
52.61,98,146.491992
52.61,98,146.667581
52.61,98,146.840906
52.61,98,146.998972
52.61,98,147.6042
-35.408163,7500,158.86434
52.6,100,158.991039
52.61,98,159.149019
52.605,99,159.307692
52.605,99,159.471059
52.605,99,159.642918
52.595,101,159.802052
52.595,101,160.374575
52.61,98,160.500511
52.6,100,160.595252
52.605,99,160.705852
52.61,98,160.800658
52.61,98,160.976406
52.59,102,161.149529
52.61,98,161.307971
52.6,100,161.482659
52.6,100,161.657
52.595,101,161.831473
52.605,99,162.372245
52.605,99,162.546673
52.61,98,162.705549
52.61,98,162.881818
52.605,99,163.022795
52.595,101,163.133472
52.605,99,163.228473
52.61,98,163.355262
52.6,100,163.450336
52.6,100,163.57673
52.585,103,164.021515
52.605,99,164.196208
52.605,99,164.356527
52.6,100,164.531275
52.605,99,164.705915
52.605,99,164.864253
52.605,99,165.039887
52.595,101,165.214314
52.6,100,165.389266
52.61,98,165.547922
52.61,98,166.038264
52.605,99,166.180734
52.605,99,166.339136
52.595,101,166.481855
52.61,98,166.640132
52.61,98,166.735564
52.61,98,166.786059
52.605,99,166.878309
52.61,98,166.993918
52.6,100,167.099532
52.61,98,167.210309
52.6,100,167.653348
52.605,99,167.764075
52.61,98,167.858781
52.61,98,167.953618
52.61,98,168.064897
52.61,98,168.175806
52.61,98,168.302921
52.605,99,168.413638
52.61,98,168.508497
52.61,98,168.619063
52.61,98,169.014159
52.605,99,169.140763
-35.404082,7500,179.284902
52.605,99,179.458691
52.605,99,179.634022
52.605,99,179.793829
52.6,100,179.969219
52.61,98,180.131857
52.605,99,180.686674
52.61,98,180.861336
52.61,98,181.020577
52.61,98,181.195745
52.61,98,181.370925
52.61,98,181.54513
52.605,99,181.720719
52.61,98,181.896371
52.61,98,182.039416
52.595,101,182.214108
52.61,98,182.787432
52.605,99,182.946859
52.61,98,183.08861
52.605,99,183.231508
52.605,99,183.389939
52.595,101,183.549495
52.61,98,183.603161
52.61,98,183.670062
52.61,98,183.780906
52.61,98,183.891046
52.605,99,183.986044
52.61,98,184.476591
52.61,98,184.645613
52.61,98,184.797414
52.605,99,184.956103
52.61,98,185.099016
52.605,99,185.247834
52.605,99,185.417029
52.61,98,185.576151
52.605,99,185.749898
52.605,99,185.928643
52.61,98,186.412717
52.61,98,186.555336
52.61,98,186.697879
52.61,98,186.840188
52.61,98,186.996875
52.61,98,187.155798
52.605,99,187.330333
52.605,99,187.457462
52.605,99,187.554938
52.6,100,187.655291
52.61,98,187.821158
52.605,99,188.248482
52.61,98,188.39092
52.605,99,188.53338
52.61,98,188.692449
52.61,98,188.851519
52.605,99,188.899443
52.61,98,188.962724
52.605,99,189.089527
52.6,100,189.216178
52.61,98,189.337462
52.61,98,189.787395
52.605,99,189.913918
52.6,100,190.00907
52.61,98,190.119854
52.605,99,190.214726
52.605,99,190.325334
52.61,98,190.420182
52.61,98,190.515026
52.61,98,190.609888
52.61,98,190.720534
52.605,99,191.132208
52.61,98,191.179591
52.61,98,191.242833
52.605,99,191.306111
52.61,98,191.417006
52.6,100,191.511742
52.61,98,191.622394
52.605,99,191.733032
52.61,98,191.844142
52.61,98,191.938976
52.6,100,192.049688
52.61,98,192.445542
52.61,98,192.556229
52.61,98,192.651072
52.61,98,192.746213
52.605,99,192.889293
52.61,98,193.016473
52.6,100,193.111624
52.61,98,193.222643
52.61,98,193.317461
52.61,98,193.428278
52.61,98,193.823899
52.595,101,193.934675
52.61,98,194.029456
52.61,98,194.140266
52.61,98,194.251431
52.61,98,194.362177
52.61,98,194.457121
52.6,100,194.567698
52.61,98,194.662576
52.61,98,194.757455
52.61,98,194.900028
52.605,99,195.233998
52.61,98,195.297498
52.61,98,195.408684
52.61,98,195.503535
52.61,98,195.598355
52.605,99,195.741349
52.61,98,195.852085
52.605,99,195.962927
52.61,98,196.058138
52.61,98,196.169171
52.61,98,196.564574
52.61,98,196.659387
